run_name,type,model,ensemble_models,accuracy,f1_macro,params,latency_ms,size_mb,retain_ratio_vs_full,train_seed,support_seed,n_per_class,tau,alpha,epochs,lr,batch_size,max_len
student_bert-base-uncased_fs1000_supp123_seed0_tau0.5_a0.1,student,bert-base-uncased,,0.9134210526315789,0.9133664892525868,109485316,6.4590363336416585,417.66114807128906,0.9651049631586265,0,123,1000,0.5,0.1,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed1_tau2.0_a0.5,student,bert-base-uncased,,0.9134210526315789,0.9131997048425321,109485316,5.99278793282186,417.66114807128906,0.9651049631586265,1,123,1000,2.0,0.5,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed6_tau3.0_a0.9,student,bert-base-uncased,,0.9134210526315789,0.9135725606659788,109485316,6.212570199083227,417.66114807128906,0.9651049631586265,6,123,1000,3.0,0.9,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed9_tau1.5_a0.9,student,bert-base-uncased,,0.9134210526315789,0.9131248326911012,109485316,7.025897927815095,417.66114807128906,0.9651049631586265,9,123,1000,1.5,0.9,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed2_tau0.5_a0.9,student,bert-base-uncased,,0.9132894736842105,0.913577079630276,109485316,6.441859333426692,417.66114807128906,0.9649659391074656,2,123,1000,0.5,0.9,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed1_tau1.0_a0.1,student,bert-base-uncased,,0.9131578947368421,0.9130755318022198,109485316,6.688889400781288,417.66114807128906,0.9648269150563047,1,123,1000,1.0,0.1,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed2_tau0.5_a0.5,student,bert-base-uncased,,0.9131578947368421,0.9129865156175876,109485316,5.7791521995871635,417.66114807128906,0.9648269150563047,2,123,1000,0.5,0.5,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed3_tau0.5_a0.5,student,bert-base-uncased,,0.9131578947368421,0.9131044188119912,109485316,6.303761000162922,417.66114807128906,0.9648269150563047,3,123,1000,0.5,0.5,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed7_tau1.5_a0.7,student,bert-base-uncased,,0.9131578947368421,0.9133558754123609,109485316,6.792724470142275,417.66114807128906,0.9648269150563047,7,123,1000,1.5,0.7,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed2_tau2.5_a0.9,student,bert-base-uncased,,0.9130263157894737,0.913065960825517,109485316,6.8084711985041695,417.66114807128906,0.964687891005144,2,123,1000,2.5,0.9,5,2e-05,8,128
